Index, Average Score
10,63.5746724438
20,62.4128313739
30,62.1900075194
40,62.0809102597
50,62.1259060583
60,61.9278333705
70,61.650979535
80,61.4840570599
90,61.205004583
100,60.8565812146
110,61.262896013
120,61.625711832
130,61.8294085431
140,62.0152466239
150,62.3153546173
160,62.4966929894
170,62.8398124159
180,63.81715825
190,64.0222572938
200,64.1197708916
210,64.1227004219
220,64.1395706633
230,64.0962855949
240,64.1260723517
250,64.0248399288
260,63.6916555564
270,63.6262646088
280,63.550498311
290,63.440135934
300,63.2786724604
310,63.1105859149
320,62.9712749986
330,62.9110101576
340,62.8417528385
350,62.7178379366
360,62.4798772073
370,62.5065358063
380,62.4324997899
390,62.3428837732
400,62.2538247688
410,62.145552679
420,61.8878343185
430,61.7730820686
440,61.713117365
450,61.7451608332
460,61.7536394734
470,61.5400834918
480,61.4455687766
490,61.4575794865
500,61.4346284578
510,61.3866880492
520,61.3520529517
530,61.3100079448
540,61.2691641508
550,61.2325019328
